"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 15:15:17 GMT 2022","Tue Sep 13 15:15:17 GMT 2022","246","","Post registration","","","","DELETE a post successfully",""
"passed","Tue Sep 13 15:14:43 GMT 2022","Tue Sep 13 15:14:45 GMT 2022","2123","","Login","","","","Login successfully",""
"passed","Tue Sep 13 15:15:22 GMT 2022","Tue Sep 13 15:15:22 GMT 2022","46","","Auth","","","","POST Auth with invalid user successfully",""
"passed","Tue Sep 13 15:14:48 GMT 2022","Tue Sep 13 15:14:49 GMT 2022","1313","","Login","","","","Validate error message when entering invalid email and password using import",""
"passed","Tue Sep 13 15:14:51 GMT 2022","Tue Sep 13 15:14:52 GMT 2022","1106","","Login","","","","Validate error message when entering invalid email and password using fixture",""
"passed","Tue Sep 13 15:15:08 GMT 2022","Tue Sep 13 15:15:10 GMT 2022","2146","","Create profile","","","","Try to insert with required fields not filled in",""
"passed","Tue Sep 13 15:14:45 GMT 2022","Tue Sep 13 15:14:46 GMT 2022","1114","","Login","","","","Validate error message when entering invalid email and password",""
"passed","Tue Sep 13 15:15:17 GMT 2022","Tue Sep 13 15:15:17 GMT 2022","441","","Post registration","","","","GET Get a post by Id successfully",""
"passed","Tue Sep 13 15:15:01 GMT 2022","Tue Sep 13 15:15:08 GMT 2022","6528","","Create profile","","","","Create a new profile successfully",""
"passed","Tue Sep 13 15:14:46 GMT 2022","Tue Sep 13 15:14:48 GMT 2022","1370","","Login","","","","Login successfully using import",""
"passed","Tue Sep 13 15:15:16 GMT 2022","Tue Sep 13 15:15:16 GMT 2022","197","","Post registration","","","","POST Create a new post successfully",""
"passed","Tue Sep 13 15:15:16 GMT 2022","Tue Sep 13 15:15:17 GMT 2022","680","","Post registration","","","","GET Get a post successfully",""
"passed","Tue Sep 13 15:15:22 GMT 2022","Tue Sep 13 15:15:22 GMT 2022","176","","Auth","","","","POST Auth successfully",""
"passed","Tue Sep 13 15:14:49 GMT 2022","Tue Sep 13 15:14:51 GMT 2022","1602","","Login","","","","Login successfully using fixture",""
